,Survived,Pclass,Sex,Age,SibSp,ParCh,Fare,Embarked,FamilySize,FamType,SurvTF
454,No,3,male,24.0,0,0,8.05,S,0,Single,False
455,Yes,3,male,29.0,0,0,7.8958,C,0,Single,True
456,No,1,male,65.0,0,0,26.55,S,0,Single,False
457,Yes,1,female,41.0,1,0,51.8625,S,1,Medium,True
458,Yes,2,female,50.0,0,0,10.5,S,0,Single,True
459,No,3,male,17.0,0,0,7.75,Q,0,Single,False
460,Yes,1,male,48.0,0,0,26.55,S,0,Single,True
461,No,3,male,34.0,0,0,8.05,S,0,Single,False
462,No,1,male,47.0,0,0,38.5,S,0,Single,False
463,No,2,male,48.0,0,0,13.0,S,0,Single,False
464,No,3,male,34.0,0,0,8.05,S,0,Single,False
465,No,3,male,38.0,0,0,7.05,S,0,Single,False
466,No,2,male,21.0,0,0,0.0,S,0,Single,False
467,No,1,male,56.0,0,0,26.55,S,0,Single,False
468,No,3,male,22.0,0,0,7.725,Q,0,Single,False
469,Yes,3,female,0.75,2,1,19.2583,C,3,Medium,True
470,No,3,male,39.0,0,0,7.25,S,0,Single,False
471,No,3,male,38.0,0,0,8.6625,S,0,Single,False
472,Yes,2,female,33.0,1,2,27.75,S,3,Medium,True
473,Yes,2,female,23.0,0,0,13.7917,C,0,Single,True
474,No,3,female,22.0,0,0,9.8375,S,0,Single,False
475,No,1,male,40.0,0,0,52.0,S,0,Single,False
476,No,2,male,34.0,1,0,21.0,S,1,Medium,False
477,No,3,male,29.0,1,0,7.0458,S,1,Medium,False
478,No,3,male,22.0,0,0,7.5208,S,0,Single,False
479,Yes,3,female,2.0,0,1,12.2875,S,1,Medium,True
480,No,3,male,9.0,5,2,46.9,S,7,Large,False
481,No,2,male,37.0,0,0,0.0,S,0,Single,False
482,No,3,male,50.0,0,0,8.05,S,0,Single,False
483,Yes,3,female,63.0,0,0,9.5875,S,0,Single,True
484,Yes,1,male,25.0,1,0,91.0792,C,1,Medium,True
485,No,3,female,8.0,3,1,25.4667,S,4,Medium,False
486,Yes,1,female,35.0,1,0,90.0,S,1,Medium,True
487,No,1,male,58.0,0,0,29.7,C,0,Single,False
488,No,3,male,30.0,0,0,8.05,S,0,Single,False
489,Yes,3,male,9.0,1,1,15.9,S,2,Medium,True
490,No,3,male,19.0,1,0,19.9667,S,1,Medium,False
491,No,3,male,21.0,0,0,7.25,S,0,Single,False
492,No,1,male,55.0,0,0,30.5,S,0,Single,False
493,No,1,male,71.0,0,0,49.5042,C,0,Single,False
494,No,3,male,21.0,0,0,8.05,S,0,Single,False
495,No,3,male,26.0,0,0,14.4583,C,0,Single,False
496,Yes,1,female,54.0,1,0,78.2667,C,1,Medium,True
497,No,3,male,55.0,0,0,15.1,S,0,Single,False
498,No,1,female,25.0,1,2,151.55,S,3,Medium,False
499,No,3,male,24.0,0,0,7.7958,S,0,Single,False
500,No,3,male,17.0,0,0,8.6625,S,0,Single,False
501,No,3,female,21.0,0,0,7.75,Q,0,Single,False
502,No,3,female,21.0,0,0,7.6292,Q,0,Single,False
503,No,3,female,37.0,0,0,9.5875,S,0,Single,False
504,Yes,1,female,16.0,0,0,86.5,S,0,Single,True
505,No,1,male,18.0,1,0,108.9,C,1,Medium,False
506,Yes,2,female,33.0,0,2,26.0,S,2,Medium,True
507,Yes,1,male,37.0,0,0,26.55,S,0,Single,True
508,No,3,male,28.0,0,0,22.525,S,0,Single,False
509,Yes,3,male,26.0,0,0,56.4958,S,0,Single,True
510,Yes,3,male,29.0,0,0,7.75,Q,0,Single,True
511,No,3,male,66.0,0,0,8.05,S,0,Single,False
512,Yes,1,male,36.0,0,0,26.2875,S,0,Single,True
513,Yes,1,female,54.0,1,0,59.4,C,1,Medium,True
514,No,3,male,24.0,0,0,7.4958,S,0,Single,False
515,No,1,male,47.0,0,0,34.0208,S,0,Single,False
516,Yes,2,female,34.0,0,0,10.5,S,0,Single,True
517,No,3,male,30.0,0,0,24.15,Q,0,Single,False
518,Yes,2,female,36.0,1,0,26.0,S,1,Medium,True
519,No,3,male,32.0,0,0,7.8958,S,0,Single,False
520,Yes,1,female,30.0,0,0,93.5,S,0,Single,True
521,No,3,male,22.0,0,0,7.8958,S,0,Single,False
522,No,3,male,35.0,0,0,7.225,C,0,Single,False
523,Yes,1,female,44.0,0,1,57.9792,C,1,Medium,True
524,No,3,male,18.0,0,0,7.2292,C,0,Single,False
525,No,3,male,40.5,0,0,7.75,Q,0,Single,False
526,Yes,2,female,50.0,0,0,10.5,S,0,Single,True
527,No,1,male,49.0,0,0,221.7792,S,0,Single,False
528,No,3,male,39.0,0,0,7.925,S,0,Single,False
529,No,2,male,23.0,2,1,11.5,S,3,Medium,False
530,Yes,2,female,2.0,1,1,26.0,S,2,Medium,True
531,No,3,male,17.0,0,0,7.2292,C,0,Single,False
532,No,3,male,17.0,1,1,7.2292,C,2,Medium,False
533,Yes,3,female,24.0,0,2,22.3583,C,2,Medium,True
534,No,3,female,30.0,0,0,8.6625,S,0,Single,False
535,Yes,2,female,7.0,0,2,26.25,S,2,Medium,True
536,No,1,male,45.0,0,0,26.55,S,0,Single,False
537,Yes,1,female,30.0,0,0,106.425,C,0,Single,True
538,No,3,male,69.0,0,0,14.5,S,0,Single,False
539,Yes,1,female,22.0,0,2,49.5,C,2,Medium,True
540,Yes,1,female,36.0,0,2,71.0,S,2,Medium,True
541,No,3,female,9.0,4,2,31.275,S,6,Large,False
542,No,3,female,11.0,4,2,31.275,S,6,Large,False
543,Yes,2,male,32.0,1,0,26.0,S,1,Medium,True
544,No,1,male,50.0,1,0,106.425,C,1,Medium,False
545,No,1,male,64.0,0,0,26.0,S,0,Single,False
546,Yes,2,female,19.0,1,0,26.0,S,1,Medium,True
547,Yes,2,male,27.0,0,0,13.8625,C,0,Single,True
548,No,3,male,33.0,1,1,20.525,S,2,Medium,False
549,Yes,2,male,8.0,1,1,36.75,S,2,Medium,True
550,Yes,1,male,17.0,0,2,110.8833,C,2,Medium,True
551,No,2,male,27.0,0,0,26.0,S,0,Single,False
552,No,3,male,21.0,0,0,7.8292,Q,0,Single,False
553,Yes,3,male,22.0,0,0,7.225,C,0,Single,True
554,Yes,3,female,22.0,0,0,7.775,S,0,Single,True
555,No,1,male,62.0,0,0,26.55,S,0,Single,False
556,Yes,1,female,48.0,1,0,39.6,C,1,Medium,True
557,No,1,male,45.0,0,0,227.525,C,0,Single,False
558,Yes,1,female,39.0,1,1,79.65,S,2,Medium,True
559,Yes,3,female,36.0,1,0,17.4,S,1,Medium,True
560,No,3,male,30.0,0,0,7.75,Q,0,Single,False
561,No,3,male,40.0,0,0,7.8958,S,0,Single,False
562,No,2,male,28.0,0,0,13.5,S,0,Single,False
563,No,3,male,40.0,0,0,8.05,S,0,Single,False
564,No,3,female,62.0,0,0,8.05,S,0,Single,False
565,No,3,male,24.0,2,0,24.15,S,2,Medium,False
566,No,3,male,19.0,0,0,7.8958,S,0,Single,False
567,No,3,female,29.0,0,4,21.075,S,4,Medium,False
568,No,3,male,28.0,0,0,7.2292,C,0,Single,False
569,Yes,3,male,32.0,0,0,7.8542,S,0,Single,True
570,Yes,2,male,62.0,0,0,10.5,S,0,Single,True
571,Yes,1,female,53.0,2,0,51.4792,S,2,Medium,True
572,Yes,1,male,36.0,0,0,26.3875,S,0,Single,True
573,Yes,3,female,22.0,0,0,7.75,Q,0,Single,True
574,No,3,male,16.0,0,0,8.05,S,0,Single,False
575,No,3,male,19.0,0,0,14.5,S,0,Single,False
576,Yes,2,female,34.0,0,0,13.0,S,0,Single,True
577,Yes,1,female,39.0,1,0,55.9,S,1,Medium,True
578,No,3,female,18.0,1,0,14.4583,C,1,Medium,False
579,Yes,3,male,32.0,0,0,7.925,S,0,Single,True
580,Yes,2,female,25.0,1,1,30.0,S,2,Medium,True
581,Yes,1,female,39.0,1,1,110.8833,C,2,Medium,True
582,No,2,male,54.0,0,0,26.0,S,0,Single,False
583,No,1,male,36.0,0,0,40.125,C,0,Single,False
584,No,3,male,16.0,0,0,8.7125,C,0,Single,False
585,Yes,1,female,18.0,0,2,79.65,S,2,Medium,True
586,No,2,male,47.0,0,0,15.0,S,0,Single,False
587,Yes,1,male,60.0,1,1,79.2,C,2,Medium,True
588,No,3,male,22.0,0,0,8.05,S,0,Single,False
589,No,3,male,22.0,0,0,8.05,S,0,Single,False
590,No,3,male,35.0,0,0,7.125,S,0,Single,False
591,Yes,1,female,52.0,1,0,78.2667,C,1,Medium,True
592,No,3,male,47.0,0,0,7.25,S,0,Single,False
593,No,3,female,40.0,0,2,7.75,Q,2,Medium,False
594,No,2,male,37.0,1,0,26.0,S,1,Medium,False
595,No,3,male,36.0,1,1,24.15,S,2,Medium,False
596,Yes,2,female,31.0,0,0,33.0,S,0,Single,True
597,No,3,male,49.0,0,0,0.0,S,0,Single,False
598,No,3,male,18.0,0,0,7.225,C,0,Single,False
599,Yes,1,male,49.0,1,0,56.9292,C,1,Medium,True
600,Yes,2,female,24.0,2,1,27.0,S,3,Medium,True
601,No,3,male,42.0,0,0,7.8958,S,0,Single,False
602,No,1,male,37.0,0,0,42.4,S,0,Single,False
603,No,3,male,44.0,0,0,8.05,S,0,Single,False
604,Yes,1,male,35.0,0,0,26.55,C,0,Single,True
605,No,3,male,36.0,1,0,15.55,S,1,Medium,False
606,No,3,male,30.0,0,0,7.8958,S,0,Single,False
607,Yes,1,male,27.0,0,0,30.5,S,0,Single,True
608,Yes,2,female,22.0,1,2,41.5792,C,3,Medium,True
609,Yes,1,female,40.0,0,0,153.4625,S,0,Single,True
610,No,3,female,39.0,1,5,31.275,S,6,Large,False
611,No,3,male,21.0,0,0,7.05,S,0,Single,False
612,Yes,3,female,18.0,1,0,15.5,Q,1,Medium,True
613,No,3,male,22.0,0,0,7.75,Q,0,Single,False
614,No,3,male,35.0,0,0,8.05,S,0,Single,False
615,Yes,2,female,24.0,1,2,65.0,S,3,Medium,True
616,No,3,male,34.0,1,1,14.4,S,2,Medium,False
617,No,3,female,26.0,1,0,16.1,S,1,Medium,False
618,Yes,2,female,4.0,2,1,39.0,S,3,Medium,True
619,No,2,male,26.0,0,0,10.5,S,0,Single,False
620,No,3,male,27.0,1,0,14.4542,C,1,Medium,False
621,Yes,1,male,42.0,1,0,52.5542,S,1,Medium,True
622,Yes,3,male,20.0,1,1,15.7417,C,2,Medium,True
623,No,3,male,21.0,0,0,7.8542,S,0,Single,False
624,No,3,male,21.0,0,0,16.1,S,0,Single,False
625,No,1,male,61.0,0,0,32.3208,S,0,Single,False
626,No,2,male,57.0,0,0,12.35,Q,0,Single,False
627,Yes,1,female,21.0,0,0,77.9583,S,0,Single,True
628,No,3,male,26.0,0,0,7.8958,S,0,Single,False
629,No,3,male,18.0,0,0,7.7333,Q,0,Single,False
630,Yes,1,male,80.0,0,0,30.0,S,0,Single,True
631,No,3,male,51.0,0,0,7.0542,S,0,Single,False
632,Yes,1,male,32.0,0,0,30.5,C,0,Single,True
633,No,1,male,30.0,0,0,0.0,S,0,Single,False
634,No,3,female,9.0,3,2,27.9,S,5,Large,False
635,Yes,2,female,28.0,0,0,13.0,S,0,Single,True
636,No,3,male,32.0,0,0,7.925,S,0,Single,False
637,No,2,male,31.0,1,1,26.25,S,2,Medium,False
638,No,3,female,41.0,0,5,39.6875,S,5,Large,False
639,No,3,male,37.0,1,0,16.1,S,1,Medium,False
640,No,3,male,20.0,0,0,7.8542,S,0,Single,False
641,Yes,1,female,24.0,0,0,69.3,C,0,Single,True
642,No,3,female,2.0,3,2,27.9,S,5,Large,False
643,Yes,3,male,32.0,0,0,56.4958,S,0,Single,True
644,Yes,3,female,0.75,2,1,19.2583,C,3,Medium,True
645,Yes,1,male,48.0,1,0,76.7292,C,1,Medium,True
646,No,3,male,19.0,0,0,7.8958,S,0,Single,False
647,Yes,1,male,56.0,0,0,35.5,C,0,Single,True
648,No,3,male,21.0,0,0,7.55,S,0,Single,False
649,Yes,3,female,23.0,0,0,7.55,S,0,Single,True
650,No,3,male,23.0,0,0,7.8958,S,0,Single,False
651,Yes,2,female,18.0,0,1,23.0,S,1,Medium,True
652,No,3,male,21.0,0,0,8.4333,S,0,Single,False
653,Yes,3,female,16.0,0,0,7.8292,Q,0,Single,True
654,No,3,female,18.0,0,0,6.75,Q,0,Single,False
655,No,2,male,24.0,2,0,73.5,S,2,Medium,False
656,No,3,male,27.0,0,0,7.8958,S,0,Single,False
657,No,3,female,32.0,1,1,15.5,Q,2,Medium,False
658,No,2,male,23.0,0,0,13.0,S,0,Single,False
659,No,1,male,58.0,0,2,113.275,C,2,Medium,False
660,Yes,1,male,50.0,2,0,133.65,S,2,Medium,True
661,No,3,male,40.0,0,0,7.225,C,0,Single,False
662,No,1,male,47.0,0,0,25.5875,S,0,Single,False
663,No,3,male,36.0,0,0,7.4958,S,0,Single,False
664,Yes,3,male,20.0,1,0,7.925,S,1,Medium,True
665,No,2,male,32.0,2,0,73.5,S,2,Medium,False
666,No,2,male,25.0,0,0,13.0,S,0,Single,False
667,No,3,male,49.0,0,0,7.775,S,0,Single,False
668,No,3,male,43.0,0,0,8.05,S,0,Single,False
669,Yes,1,female,48.0,1,0,52.0,S,1,Medium,True
670,Yes,2,female,40.0,1,1,39.0,S,2,Medium,True
671,No,1,male,31.0,1,0,52.0,S,1,Medium,False
672,No,2,male,70.0,0,0,10.5,S,0,Single,False
673,Yes,2,male,31.0,0,0,13.0,S,0,Single,True
674,No,2,male,19.0,0,0,0.0,S,0,Single,False
675,No,3,male,18.0,0,0,7.775,S,0,Single,False
676,No,3,male,24.5,0,0,8.05,S,0,Single,False
677,Yes,3,female,18.0,0,0,9.8417,S,0,Single,True
678,No,3,female,43.0,1,6,46.9,S,7,Large,False
679,Yes,1,male,36.0,0,1,512.3292,C,1,Medium,True
680,No,3,female,28.0,0,0,8.1375,Q,0,Single,False
681,Yes,1,male,27.0,0,0,76.7292,C,0,Single,True
682,No,3,male,20.0,0,0,9.225,S,0,Single,False
683,No,3,male,14.0,5,2,46.9,S,7,Large,False
684,No,2,male,60.0,1,1,39.0,S,2,Medium,False
685,No,2,male,25.0,1,2,41.5792,C,3,Medium,False
686,No,3,male,14.0,4,1,39.6875,S,5,Large,False
687,No,3,male,19.0,0,0,10.1708,S,0,Single,False
688,No,3,male,18.0,0,0,7.7958,S,0,Single,False
689,Yes,1,female,15.0,0,1,211.3375,S,1,Medium,True
690,Yes,1,male,31.0,1,0,57.0,S,1,Medium,True
691,Yes,3,female,4.0,0,1,13.4167,C,1,Medium,True
692,Yes,3,male,37.0,0,0,56.4958,S,0,Single,True
693,No,3,male,25.0,0,0,7.225,C,0,Single,False
694,No,1,male,60.0,0,0,26.55,S,0,Single,False
695,No,2,male,52.0,0,0,13.5,S,0,Single,False
696,No,3,male,44.0,0,0,8.05,S,0,Single,False
697,Yes,3,female,19.0,0,0,7.7333,Q,0,Single,True
698,No,1,male,49.0,1,1,110.8833,C,2,Medium,False
699,No,3,male,42.0,0,0,7.65,S,0,Single,False
700,Yes,1,female,18.0,1,0,227.525,C,1,Medium,True
701,Yes,1,male,35.0,0,0,26.2875,S,0,Single,True
702,No,3,female,18.0,0,1,14.4542,C,1,Medium,False
703,No,3,male,25.0,0,0,7.7417,Q,0,Single,False
704,No,3,male,26.0,1,0,7.8542,S,1,Medium,False
705,No,2,male,39.0,0,0,26.0,S,0,Single,False
706,Yes,2,female,45.0,0,0,13.5,S,0,Single,True
707,Yes,1,male,42.0,0,0,26.2875,S,0,Single,True
708,Yes,1,female,22.0,0,0,151.55,S,0,Single,True
709,Yes,3,male,4.0,1,1,15.2458,C,2,Medium,True
710,Yes,1,female,24.0,0,0,49.5042,C,0,Single,True
711,No,1,male,41.0,0,0,26.55,S,0,Single,False
712,Yes,1,male,48.0,1,0,52.0,S,1,Medium,True
713,No,3,male,29.0,0,0,9.4833,S,0,Single,False
714,No,2,male,52.0,0,0,13.0,S,0,Single,False
715,No,3,male,19.0,0,0,7.65,S,0,Single,False
716,Yes,1,female,38.0,0,0,227.525,C,0,Single,True
717,Yes,2,female,27.0,0,0,10.5,S,0,Single,True
718,No,3,male,,0,0,15.5,Q,0,Single,False
719,No,3,male,33.0,0,0,7.775,S,0,Single,False
720,Yes,2,female,6.0,0,1,33.0,S,1,Medium,True
721,No,3,male,17.0,1,0,7.0542,S,1,Medium,False
722,No,2,male,34.0,0,0,13.0,S,0,Single,False
723,No,2,male,50.0,0,0,13.0,S,0,Single,False
724,Yes,1,male,27.0,1,0,53.1,S,1,Medium,True
725,No,3,male,20.0,0,0,8.6625,S,0,Single,False
726,Yes,2,female,30.0,3,0,21.0,S,3,Medium,True
727,Yes,3,female,28.0,0,0,7.7375,Q,0,Single,True
728,No,2,male,25.0,1,0,26.0,S,1,Medium,False
729,No,3,female,25.0,1,0,7.925,S,1,Medium,False
730,Yes,1,female,29.0,0,0,211.3375,S,0,Single,True
731,No,3,male,11.0,0,0,18.7875,C,0,Single,False
732,No,2,male,41.0,0,0,0.0,S,0,Single,False
733,No,2,male,23.0,0,0,13.0,S,0,Single,False
734,No,2,male,23.0,0,0,13.0,S,0,Single,False
735,No,3,male,28.5,0,0,16.1,S,0,Single,False
736,No,3,female,48.0,1,3,34.375,S,4,Medium,False
737,Yes,1,male,35.0,0,0,512.3292,C,0,Single,True
738,No,3,male,20.0,0,0,7.8958,S,0,Single,False
739,No,3,male,32.0,0,0,7.8958,S,0,Single,False
740,Yes,1,male,45.0,0,0,30.0,S,0,Single,True
741,No,1,male,36.0,1,0,78.85,S,1,Medium,False
742,Yes,1,female,21.0,2,2,262.375,C,4,Medium,True
743,No,3,male,24.0,1,0,16.1,S,1,Medium,False
744,Yes,3,male,31.0,0,0,7.925,S,0,Single,True
745,No,1,male,70.0,1,1,71.0,S,2,Medium,False
746,No,3,male,16.0,1,1,20.25,S,2,Medium,False
747,Yes,2,female,30.0,0,0,13.0,S,0,Single,True
748,No,1,male,19.0,1,0,53.1,S,1,Medium,False
749,No,3,male,31.0,0,0,7.75,Q,0,Single,False
750,Yes,2,female,4.0,1,1,23.0,S,2,Medium,True
751,Yes,3,male,6.0,0,1,12.475,S,1,Medium,True
752,No,3,male,33.0,0,0,9.5,S,0,Single,False
753,No,3,male,23.0,0,0,7.8958,S,0,Single,False
754,Yes,2,female,48.0,1,2,65.0,S,3,Medium,True
755,Yes,2,male,0.67,1,1,14.5,S,2,Medium,True
756,No,3,male,28.0,0,0,7.7958,S,0,Single,False
757,No,2,male,18.0,0,0,11.5,S,0,Single,False
758,No,3,male,34.0,0,0,8.05,S,0,Single,False
759,Yes,1,female,33.0,0,0,86.5,S,0,Single,True
760,No,3,male,23.0,0,0,14.5,S,0,Single,False
761,No,3,male,41.0,0,0,7.125,S,0,Single,False
762,Yes,3,male,20.0,0,0,7.2292,C,0,Single,True
763,Yes,1,female,36.0,1,2,120.0,S,3,Medium,True
764,No,3,male,16.0,0,0,7.775,S,0,Single,False
765,Yes,1,female,51.0,1,0,77.9583,S,1,Medium,True
766,No,1,male,46.0,0,0,39.6,C,0,Single,False
767,No,3,female,30.5,0,0,7.75,Q,0,Single,False
768,No,3,male,28.0,1,0,24.15,Q,1,Medium,False
769,No,3,male,32.0,0,0,8.3625,S,0,Single,False
770,No,3,male,24.0,0,0,9.5,S,0,Single,False
771,No,3,male,48.0,0,0,7.8542,S,0,Single,False
772,No,2,female,57.0,0,0,10.5,S,0,Single,False
773,No,3,male,29.0,0,0,7.225,C,0,Single,False
774,Yes,2,female,54.0,1,3,23.0,S,4,Medium,True
775,No,3,male,18.0,0,0,7.75,S,0,Single,False
776,No,3,male,20.0,0,0,7.75,Q,0,Single,False
777,Yes,3,female,5.0,0,0,12.475,S,0,Single,True
778,No,3,male,22.0,0,0,7.7375,Q,0,Single,False
779,Yes,1,female,43.0,0,1,211.3375,S,1,Medium,True
780,Yes,3,female,13.0,0,0,7.2292,C,0,Single,True
781,Yes,1,female,17.0,1,0,57.0,S,1,Medium,True
782,No,1,male,29.0,0,0,30.0,S,0,Single,False
783,No,3,male,35.0,1,2,23.45,S,3,Medium,False
784,No,3,male,25.0,0,0,7.05,S,0,Single,False
785,No,3,male,25.0,0,0,7.25,S,0,Single,False
786,Yes,3,female,18.0,0,0,7.4958,S,0,Single,True
787,No,3,male,8.0,4,1,29.125,Q,5,Large,False
788,Yes,3,male,1.0,1,2,20.575,S,3,Medium,True
789,No,1,male,46.0,0,0,79.2,C,0,Single,False
790,No,3,male,20.0,0,0,7.75,Q,0,Single,False
791,No,2,male,16.0,0,0,26.0,S,0,Single,False
792,No,3,female,21.0,8,2,69.55,S,10,Large,False
793,No,1,male,43.0,0,0,30.6958,C,0,Single,False
794,No,3,male,25.0,0,0,7.8958,S,0,Single,False
795,No,2,male,39.0,0,0,13.0,S,0,Single,False
796,Yes,1,female,49.0,0,0,25.9292,S,0,Single,True
797,Yes,3,female,31.0,0,0,8.6833,S,0,Single,True
798,No,3,male,30.0,0,0,7.2292,C,0,Single,False
799,No,3,female,30.0,1,1,24.15,S,2,Medium,False
800,No,2,male,34.0,0,0,13.0,S,0,Single,False
801,Yes,2,female,31.0,1,1,26.25,S,2,Medium,True
802,Yes,1,male,11.0,1,2,120.0,S,3,Medium,True
803,Yes,3,male,0.42,0,1,8.5167,C,1,Medium,True
804,Yes,3,male,27.0,0,0,6.975,S,0,Single,True
805,No,3,male,31.0,0,0,7.775,S,0,Single,False
806,No,1,male,39.0,0,0,0.0,S,0,Single,False
807,No,3,female,18.0,0,0,7.775,S,0,Single,False
808,No,2,male,39.0,0,0,13.0,S,0,Single,False
809,Yes,1,female,33.0,1,0,53.1,S,1,Medium,True
810,No,3,male,26.0,0,0,7.8875,S,0,Single,False
811,No,3,male,39.0,0,0,24.15,S,0,Single,False
812,No,2,male,35.0,0,0,10.5,S,0,Single,False
813,No,3,female,6.0,4,2,31.275,S,6,Large,False
814,No,3,male,30.5,0,0,8.05,S,0,Single,False
815,No,1,male,39.0,0,0,0.0,S,0,Single,False
816,No,3,female,23.0,0,0,7.925,S,0,Single,False
817,No,2,male,31.0,1,1,37.0042,C,2,Medium,False
818,No,3,male,43.0,0,0,6.45,S,0,Single,False
819,No,3,male,10.0,3,2,27.9,S,5,Large,False
820,Yes,1,female,52.0,1,1,93.5,S,2,Medium,True
821,Yes,3,male,27.0,0,0,8.6625,S,0,Single,True
822,No,1,male,38.0,0,0,0.0,S,0,Single,False
823,Yes,3,female,27.0,0,1,12.475,S,1,Medium,True
824,No,3,male,2.0,4,1,39.6875,S,5,Large,False
825,No,3,male,35.0,0,0,6.95,Q,0,Single,False
826,No,3,male,23.0,0,0,56.4958,S,0,Single,False
827,Yes,2,male,1.0,0,2,37.0042,C,2,Medium,True
828,Yes,3,male,19.0,0,0,7.75,Q,0,Single,True
829,Yes,1,female,62.0,0,0,80.0,,0,Single,True
830,Yes,3,female,15.0,1,0,14.4542,C,1,Medium,True
831,Yes,2,male,0.83,1,1,18.75,S,2,Medium,True
832,No,3,male,30.0,0,0,7.2292,C,0,Single,False
833,No,3,male,23.0,0,0,7.8542,S,0,Single,False
834,No,3,male,18.0,0,0,8.3,S,0,Single,False
835,Yes,1,female,39.0,1,1,83.1583,C,2,Medium,True
836,No,3,male,21.0,0,0,8.6625,S,0,Single,False
837,No,3,male,20.0,0,0,8.05,S,0,Single,False
838,Yes,3,male,32.0,0,0,56.4958,S,0,Single,True
839,Yes,1,male,29.0,0,0,29.7,C,0,Single,True
840,No,3,male,20.0,0,0,7.925,S,0,Single,False
841,No,2,male,16.0,0,0,10.5,S,0,Single,False
842,Yes,1,female,30.0,0,0,31.0,C,0,Single,True
843,No,3,male,34.5,0,0,6.4375,C,0,Single,False
844,No,3,male,17.0,0,0,8.6625,S,0,Single,False
845,No,3,male,42.0,0,0,7.55,S,0,Single,False
846,No,3,male,18.0,8,2,69.55,S,10,Large,False
847,No,3,male,35.0,0,0,7.8958,C,0,Single,False
848,No,2,male,28.0,0,1,33.0,S,1,Medium,False
849,Yes,1,female,40.0,1,0,89.1042,C,1,Medium,True
850,No,3,male,4.0,4,2,31.275,S,6,Large,False
851,No,3,male,74.0,0,0,7.775,S,0,Single,False
852,No,3,female,9.0,1,1,15.2458,C,2,Medium,False
853,Yes,1,female,16.0,0,1,39.4,S,1,Medium,True
854,No,2,female,44.0,1,0,26.0,S,1,Medium,False
855,Yes,3,female,18.0,0,1,9.35,S,1,Medium,True
856,Yes,1,female,45.0,1,1,164.8667,S,2,Medium,True
857,Yes,1,male,51.0,0,0,26.55,S,0,Single,True
858,Yes,3,female,24.0,0,3,19.2583,C,3,Medium,True
859,No,3,male,30.0,0,0,7.2292,C,0,Single,False
860,No,3,male,41.0,2,0,14.1083,S,2,Medium,False
861,No,2,male,21.0,1,0,11.5,S,1,Medium,False
862,Yes,1,female,48.0,0,0,25.9292,S,0,Single,True
863,No,3,female,14.0,8,2,69.55,S,10,Large,False
864,No,2,male,24.0,0,0,13.0,S,0,Single,False
865,Yes,2,female,42.0,0,0,13.0,S,0,Single,True
866,Yes,2,female,27.0,1,0,13.8583,C,1,Medium,True
867,No,1,male,31.0,0,0,50.4958,S,0,Single,False
868,No,3,male,23.0,0,0,9.5,S,0,Single,False
869,Yes,3,male,4.0,1,1,11.1333,S,2,Medium,True
870,No,3,male,26.0,0,0,7.8958,S,0,Single,False
871,Yes,1,female,47.0,1,1,52.5542,S,2,Medium,True
872,No,1,male,33.0,0,0,5.0,S,0,Single,False
873,No,3,male,47.0,0,0,9.0,S,0,Single,False
874,Yes,2,female,28.0,1,0,24.0,C,1,Medium,True
875,Yes,3,female,15.0,0,0,7.225,C,0,Single,True
876,No,3,male,20.0,0,0,9.8458,S,0,Single,False
877,No,3,male,19.0,0,0,7.8958,S,0,Single,False
878,No,3,male,23.0,0,0,7.8958,S,0,Single,False
879,Yes,1,female,56.0,0,1,83.1583,C,1,Medium,True
880,Yes,2,female,25.0,0,1,26.0,S,1,Medium,True
881,No,3,male,33.0,0,0,7.8958,S,0,Single,False
882,No,3,female,22.0,0,0,10.5167,S,0,Single,False
883,No,2,male,28.0,0,0,10.5,S,0,Single,False
884,No,3,male,25.0,0,0,7.05,S,0,Single,False
885,No,3,female,39.0,0,5,29.125,Q,5,Large,False
886,No,2,male,27.0,0,0,13.0,S,0,Single,False
887,Yes,1,female,19.0,0,0,30.0,S,0,Single,True
888,No,3,female,7.0,1,2,23.45,S,3,Medium,False
889,Yes,1,male,26.0,0,0,30.0,C,0,Single,True
890,No,3,male,32.0,0,0,7.75,Q,0,Single,False
